Gender,EngagingMethod,MotivationDuringTL,HandsOnActivityHelp,TLPerformance,GroupDiscussion,MultimediaEffectiveness,TeacherInteraction,IMEncourageness,PeerLearning,Retention,ELinRealWorld,PreferMedia,ChallengesTL,Suggestions,AgeGroup,Score,Dropdown
Male,Experiential methods,Always,Strongly agree,No,Very effective,Excellent,Rarely,Neutral,Yes,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,,18–24,0.0,
Female,Interactive methods,Always,Strongly agree,Yes,Very effective,Good,Often,Strongly agree,Strongly agree,Interactive methods,Effective,Strongly agree,One-way communication,,25–34,0.0,
Female,Interactive methods,Always,Strongly agree,Yes,Very effective,Excellent,Rarely,Strongly agree,Strongly agree,Interactive methods,Very effective,Agree,Lack of engagement,,18–24,0.0,
Male,Experiential methods,Sometimes,Strongly agree,Yes,Very ineffective,Excellent,Rarely,Agree,Yes,Experiential methods,Very effective,Strongly disagree,No hands-on learning opportunities,,18–24,0.0,
Male,Experiential methods,Rarely,Agree,No,Very ineffective,Excellent,Rarely,Strongly disagree,Yes,Traditional lectures,Very effective,Strongly agree,Lack of engagement,,18–24,0.0,
Male,Interactive methods,Rarely,Agree,No,Very effective,Excellent,Rarely,Agree,Yes,Interactive methods,Effective,Agree,One-way communication,,18–24,0.0,
Male,Traditional lectures,Always,Agree,Yes,Very effective,Good,Often,Strongly agree,Strongly agree,Traditional lectures,Very effective,Neutral,Lack of engagement,,18–24,0.0,
Female,Interactive methods,Sometimes,Agree,Not sure,Effective,Good,Sometimes,Agree,Yes,Interactive methods,Effective,Agree,Lack of engagement,,18–24,0.0,
Female,Experiential methods,Rarely,Strongly agree,No,Very effective,Good,Sometimes,Agree,Yes,Interactive methods,Neutral,Disagree,One-way communication,,25–34,0.0,
Male,Interactive methods,Often,Agree,No,Effective,Good,Often,Neutral,Yes,Interactive methods,Effective,Agree,One-way communication,,18–24,0.0,
Female,Interactive methods,Always,Strongly agree,Yes,Effective,Excellent,Sometimes,Agree,Strongly agree,Interactive methods,Effective,Agree,Lack of engagement,,25–34,0.0,
Female,Experiential methods,Rarely,Agree,No,Effective,Good,Rarely,Strongly disagree,Yes,Experiential methods,Neutral,Neutral,One-way communication,,18–24,0.0,
Female,Interactive methods,Sometimes,Agree,Not sure,Effective,Good,Sometimes,Neutral,Yes,Interactive methods,Effective,Neutral,One-way communication,,25–34,0.0,
Female,Interactive methods,Sometimes,Agree,Yes,Effective,Average,Sometimes,Agree,Yes,Interactive methods,Neutral,Neutral,One-way communication,,25–34,0.0,
Male,Traditional lectures,Always,Agree,No,Very ineffective,Good,Sometimes,Strongly agree,Strongly agree,Traditional lectures,Effective,Agree,One-way communication,,18–24,0.0,
Male,Interactive methods,Often,Agree,Yes,Very effective,Good,Always,Agree,Yes,Interactive methods,Effective,Agree,No hands-on learning opportunities,,18–24,0.0,
Male,Interactive methods,Often,Neutral,No,Very effective,Excellent,Often,Agree,Strongly agree,Experiential methods,Very effective,Strongly agree,One-way communication,,18–24,0.0,
Male,Interactive methods,Often,Agree,No,Effective,Excellent,Often,Neutral,Yes,Interactive methods,Effective,Agree,One-way communication,,18–24,0.0,
Male,Experiential methods,Sometimes,Strongly agree,No,Effective,Good,Sometimes,Agree,Yes,Experiential methods,Effective,Agree,One-way communication,,18–24,0.0,
Female,Experiential methods,Rarely,Strongly agree,Yes,Effective,Average,Sometimes,Agree,Yes,Experiential methods,Effective,Neutral,Lack of engagement,,25–34,0.0,
Female,Interactive methods,Often,Neutral,No,Very effective,Excellent,Rarely,Agree,Strongly agree,Interactive methods,Effective,Agree,Lack of engagement,,18–24,0.0,
Female,Interactive methods,Always,Neutral,Yes,Effective,Good,Often,Strongly agree,Yes,Interactive methods,Effective,Strongly agree,One-way communication,,18–24,0.0,
Female,Interactive methods,Sometimes,Agree,Yes,Effective,Average,Often,Strongly agree,Strongly agree,Experiential methods,Very ineffective,Disagree,One-way communication,,18–24,0.0,
Male,Experiential methods,Often,Agree,Yes,Neutral,Good,Often,Agree,Strongly agree,Experiential methods,Effective,Agree,One-way communication,,18–24,0.0,
Male,Interactive methods,Sometimes,Strongly agree,Yes,Effective,Average,Sometimes,Agree,Strongly agree,Traditional lectures,Effective,Strongly agree,One-way communication,,18–24,0.0,
Female,Experiential methods,Sometimes,Neutral,Not sure,Very effective,Good,Often,Agree,Sometimes,Experiential methods,Neutral,Agree,No hands-on learning opportunities,,18–24,0.0,
Female,Experiential methods,Sometimes,Agree,No,Very effective,Good,Sometimes,Strongly agree,Strongly agree,Experiential methods,Effective,Strongly agree,One-way communication,,18–24,0.0,
Male,Interactive methods,Always,Neutral,Yes,Effective,Good,Always,Strongly agree,Strongly agree,Traditional lectures,Very effective,Strongly agree,One-way communication,,25–34,0.0,
Male,Interactive methods,Sometimes,Agree,No,Effective,Excellent,Rarely,Agree,Sometimes,Traditional lectures,Effective,Strongly agree,Lack of engagement,,25–34,0.0,
Male,Experiential methods,Always,Agree,Yes,Very effective,Good,Always,Strongly agree,No,Traditional lectures,Very ineffective,Strongly agree,One-way communication,,18–24,0.0,
Female,Traditional lectures,Always,Neutral,Yes,Very effective,Average,Sometimes,Agree,Yes,Traditional lectures,Neutral,Agree,Lack of engagement,,18–24,0.0,
Female,Experiential methods,Sometimes,Strongly agree,No,Very effective,Good,Sometimes,Agree,Yes,Experiential methods,Very effective,Strongly agree,Lack of engagement,,18–24,0.0,
Female,Experiential methods,Sometimes,Strongly agree,Yes,Very effective,Good,Sometimes,Agree,Sometimes,Experiential methods,Very effective,Neutral,No hands-on learning opportunities,,Above 34,0.0,
Female,Experiential methods,Sometimes,Agree,Not sure,Effective,Excellent,Sometimes,Agree,Yes,Experiential methods,Effective,Agree,No hands-on learning opportunities,,25–34,0.0,
Female,Experiential methods,Often,Agree,Not sure,Effective,Good,Often,Agree,Strongly agree,Experiential methods,Effective,Agree,One-way communication,,18–24,0.0,
Male,Experiential methods,Often,Agree,Not sure,Effective,Excellent,Often,Strongly agree,Yes,Experiential methods,Effective,Agree,Lack of engagement,,Above 34,0.0,
Male,Interactive methods,Sometimes,Neutral,Yes,Effective,Average,Sometimes,Agree,Sometimes,Experiential methods,Neutral,Agree,One-way communication,,Above 34,0.0,
Male,Interactive methods,Always,Neutral,Yes,Effective,Good,Sometimes,Agree,Strongly agree,Experiential methods,Very effective,Agree,One-way communication,,Above 34,0.0,
Male,Interactive methods,Always,Strongly agree,Yes,Effective,Excellent,Always,Strongly agree,Yes,Interactive methods,Effective,Strongly agree,Lack of engagement,,Above 34,0.0,
Male,Experiential methods,Often,Strongly agree,Yes,Neutral,Excellent,Often,Agree,No,Experiential methods,Effective,Agree,One-way communication,,Above 34,0.0,
Male,Interactive methods,Often,Strongly agree,Not sure,Very effective,Excellent,Always,Strongly agree,Not sure,Interactive methods,Very effective,Agree,Lack of engagement,,18–24,0.9994512596641174,
Female,Traditional lectures,Never,Disagree,Not sure,Ineffective,Good,Always,Agree,No,Traditional lectures,Very effective,Strongly agree,Lack of engagement,,18–24,0.1552143147085033,
Female,Traditional lectures,Always,Neutral,Yes,Ineffective,Poor,Never,Disagree,Not sure,Interactive methods,Ineffective,Disagree,No hands-on learning opportunities,,25–34,0.3778353821797449,
Male,Experiential methods,Always,Strongly disagree,Yes,Ineffective,Poor,Always,Strongly disagree,Not sure,Traditional lectures,Ineffective,Strongly disagree,Overwhelming content,,25–34,0.0293331191032266,
Male,Traditional lectures,Never,Neutral,No,Ineffective,Excellent,Rarely,Strongly disagree,No,Traditional lectures,Neutral,Disagree,Lack of engagement,,25–34,0.9187851973338214,
Male,Interactive methods,Often,Agree,No,Effective,Poor,Never,Neutral,Yes,Interactive methods,Very effective,Strongly disagree,Lack of engagement,,25–34,0.3971448942090777,
Male,Interactive methods,Rarely,Disagree,Not sure,Very effective,Excellent,Often,Agree,Not sure,Traditional lectures,Effective,Neutral,No hands-on learning opportunities,,25–34,0.3641418458471442,
Male,Interactive methods,Sometimes,Disagree,Yes,Neutral,Poor,Rarely,Strongly agree,Not sure,Interactive methods,Very effective,Disagree,No hands-on learning opportunities,,25–34,0.7018941848828782,
Female,Experiential methods,Always,Strongly disagree,Not sure,Neutral,Excellent,Often,Strongly agree,Not sure,Interactive methods,Very effective,Strongly disagree,One-way communication,,18–24,0.0427835256978509,
Female,Experiential methods,Often,Neutral,No,Very effective,Poor,Often,Strongly agree,No,Experiential methods,Effective,Strongly disagree,Lack of engagement,,25–34,0.0575640824361449,
Female,Traditional lectures,Often,Disagree,No,Neutral,Excellent,Rarely,Strongly agree,Not sure,Traditional lectures,Ineffective,Strongly disagree,Overwhelming content,,18–24,0.9134685727247006,
Male,Traditional lectures,Always,Strongly agree,Not sure,Neutral,Excellent,Often,Disagree,No,Interactive methods,Effective,Strongly agree,Lack of engagement,,Above 34,0.8325551276533006,
Female,Traditional lectures,Always,Strongly disagree,Yes,Ineffective,Good,Always,Strongly disagree,Not sure,Experiential methods,Neutral,Strongly agree,One-way communication,,Above 34,0.3197327911800084,
Female,Interactive methods,Rarely,Strongly disagree,Not sure,Neutral,Excellent,Always,Agree,Yes,Traditional lectures,Effective,Neutral,Lack of engagement,,25–34,0.6143244507227102,
Male,Interactive methods,Often,Agree,Not sure,Ineffective,Poor,Always,Strongly disagree,Yes,Interactive methods,Effective,Neutral,One-way communication,,Above 34,0.4454758486177481,
Female,Traditional lectures,Rarely,Agree,Not sure,Effective,Poor,Rarely,Strongly agree,Not sure,Interactive methods,Neutral,Agree,Overwhelming content,,25–34,0.9308251923077114,
Female,Interactive methods,Never,Neutral,No,Ineffective,Poor,Rarely,Agree,Yes,Traditional lectures,Ineffective,Agree,One-way communication,,18–24,0.0435824460257555,
Female,Interactive methods,Often,Agree,No,Effective,Good,Always,Agree,No,Experiential methods,Effective,Agree,No hands-on learning opportunities,,Above 34,0.7951608168968567,
Male,Interactive methods,Sometimes,Disagree,Not sure,Very effective,Excellent,Often,Strongly disagree,Yes,Traditional lectures,Neutral,Strongly disagree,Overwhelming content,,Above 34,0.8355470523328975,
Female,Experiential methods,Often,Strongly disagree,Not sure,Ineffective,Good,Never,Agree,Not sure,Interactive methods,Neutral,Agree,Overwhelming content,,Above 34,0.0331290033052985,
Male,Experiential methods,Sometimes,Agree,Yes,Very effective,Excellent,Always,Disagree,Yes,Traditional lectures,Effective,Neutral,No hands-on learning opportunities,,25–34,0.7530876153376738,
Female,Interactive methods,Never,Neutral,No,Effective,Poor,Often,Neutral,Not sure,Experiential methods,Neutral,Agree,One-way communication,,18–24,0.9074634123099522,
Female,Interactive methods,Sometimes,Disagree,Not sure,Very effective,Poor,Sometimes,Neutral,No,Experiential methods,Effective,Agree,One-way communication,,Above 34,0.4266761174988533,
Male,Traditional lectures,Rarely,Disagree,No,Ineffective,Excellent,Never,Neutral,No,Experiential methods,Very effective,Strongly disagree,Lack of engagement,,18–24,0.4965622482245461,
Male,Interactive methods,Rarely,Strongly disagree,Yes,Very effective,Neutral,Rarely,Agree,Not sure,Experiential methods,Effective,Strongly agree,One-way communication,,25–34,0.0059465792627216,
Female,Traditional lectures,Always,Strongly agree,Not sure,Effective,Neutral,Sometimes,Disagree,Not sure,Interactive methods,Neutral,Disagree,Overwhelming content,,Above 34,0.3721227571129799,
Male,Interactive methods,Often,Agree,No,Neutral,Excellent,Often,Agree,No,Interactive methods,Very effective,Agree,No hands-on learning opportunities,,25–34,0.9298354810984644,
Male,Experiential methods,Always,Agree,No,Effective,Excellent,Sometimes,Disagree,Yes,Interactive methods,Neutral,Agree,One-way communication,,25–34,0.31991919195352,
Female,Traditional lectures,Never,Neutral,Not sure,Very effective,Poor,Rarely,Strongly agree,Yes,Traditional lectures,Very effective,Agree,No hands-on learning opportunities,,25–34,0.4721982823064731,
Male,Experiential methods,Always,Disagree,Not sure,Neutral,Neutral,Always,Disagree,Not sure,Experiential methods,Effective,Disagree,Lack of engagement,,Above 34,0.262572957522612,
Male,Traditional lectures,Always,Neutral,Yes,Effective,Excellent,Often,Strongly disagree,Not sure,Interactive methods,Ineffective,Disagree,One-way communication,,25–34,0.7588420964076912,
Female,Interactive methods,Rarely,Disagree,Yes,Very effective,Poor,Sometimes,Agree,No,Experiential methods,Ineffective,Strongly disagree,One-way communication,,Above 34,0.0443104206726291,
Male,Interactive methods,Rarely,Agree,Yes,Effective,Excellent,Often,Disagree,No,Experiential methods,Ineffective,Strongly agree,Lack of engagement,,18–24,0.2319582421554861,
Male,Experiential methods,Rarely,Strongly disagree,Not sure,Neutral,Neutral,Often,Strongly agree,No,Traditional lectures,Effective,Disagree,No hands-on learning opportunities,,Above 34,0.7101140741745061,
Female,Experiential methods,Rarely,Disagree,Yes,Neutral,Poor,Sometimes,Agree,Not sure,Traditional lectures,Ineffective,Neutral,Lack of engagement,,Above 34,0.1354570435148517,
Female,Traditional lectures,Never,Strongly agree,Yes,Effective,Excellent,Often,Strongly agree,Not sure,Traditional lectures,Effective,Disagree,No hands-on learning opportunities,,Above 34,0.9975289016010488,
Female,Interactive methods,Never,Agree,Yes,Ineffective,Good,Always,Neutral,Yes,Interactive methods,Effective,Strongly disagree,Overwhelming content,,25–34,0.6443269352300044,
Female,Experiential methods,Sometimes,Agree,Yes,Neutral,Poor,Rarely,Strongly agree,Yes,Traditional lectures,Neutral,Neutral,One-way communication,,25–34,0.0798349315678181,
Male,Interactive methods,Sometimes,Strongly agree,No,Ineffective,Neutral,Never,Strongly agree,Not sure,Experiential methods,Very effective,Strongly agree,Lack of engagement,,18–24,0.3762250109854589,
Female,Experiential methods,Never,Disagree,No,Very effective,Good,Always,Disagree,Yes,Experiential methods,Effective,Neutral,Overwhelming content,,25–34,0.9817429312824952,
Female,Traditional lectures,Always,Agree,No,Ineffective,Excellent,Always,Strongly agree,Yes,Traditional lectures,Very effective,Strongly disagree,One-way communication,,25–34,0.2068145712848044,
Female,Interactive methods,Sometimes,Agree,Not sure,Neutral,Good,Rarely,Neutral,Not sure,Interactive methods,Very effective,Disagree,Overwhelming content,,25–34,0.1359123079666996,
Male,Experiential methods,Rarely,Agree,Yes,Very effective,Excellent,Rarely,Strongly agree,No,Interactive methods,Very effective,Strongly agree,Overwhelming content,,18–24,0.9309234389754226,
Male,Interactive methods,Rarely,Disagree,Not sure,Ineffective,Neutral,Always,Strongly disagree,Yes,Experiential methods,Neutral,Strongly agree,Overwhelming content,,25–34,0.3336001182653423,
Male,Experiential methods,Never,Strongly agree,Not sure,Very effective,Neutral,Sometimes,Disagree,Not sure,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,,25–34,0.6967302582370594,
Female,Traditional lectures,Often,Strongly agree,Not sure,Very effective,Good,Often,Strongly agree,Yes,Experiential methods,Very effective,Strongly agree,One-way communication,,25–34,0.9131081725033529,
Female,Traditional lectures,Rarely,Strongly disagree,No,Effective,Good,Often,Disagree,Yes,Experiential methods,Effective,Strongly disagree,Overwhelming content,,Above 34,0.0487353863962978,
Male,Experiential methods,Never,Strongly agree,Yes,Ineffective,Neutral,Often,Strongly disagree,Not sure,Interactive methods,Very effective,Disagree,One-way communication,,Above 34,0.006401807214332,
Female,Experiential methods,Never,Agree,Not sure,Ineffective,Good,Always,Disagree,Not sure,Experiential methods,Ineffective,Agree,No hands-on learning opportunities,,Above 34,0.710604305529679,
Female,Interactive methods,Often,Agree,No,Ineffective,Excellent,Often,Neutral,Not sure,Experiential methods,Effective,Agree,Lack of engagement,,18–24,0.7945086385357748,
Male,Interactive methods,Often,Disagree,Yes,Effective,Excellent,Rarely,Strongly agree,Not sure,Traditional lectures,Very effective,Neutral,Lack of engagement,,18–24,0.7098084233346084,
Male,Experiential methods,Always,Agree,Not sure,Neutral,Poor,Often,Strongly agree,No,Traditional lectures,Ineffective,Agree,One-way communication,,25–34,0.0316472654199901,
Male,Experiential methods,Often,Strongly agree,Yes,Very effective,Poor,Always,Agree,No,Traditional lectures,Effective,Neutral,Lack of engagement,,25–34,0.1632595995410052,
Male,Interactive methods,Always,Agree,No,Neutral,Good,Always,Strongly agree,Yes,Traditional lectures,Very effective,Disagree,Overwhelming content,,Above 34,0.997607858072709,
Female,Interactive methods,Rarely,Strongly agree,Yes,Ineffective,Excellent,Rarely,Strongly disagree,Yes,Interactive methods,Neutral,Strongly agree,One-way communication,,Above 34,0.7913203282106799,
Female,Experiential methods,Always,Strongly agree,No,Ineffective,Neutral,Always,Agree,Not sure,Experiential methods,Effective,Strongly disagree,Lack of engagement,,Above 34,0.7162345372422112,
Male,Experiential methods,Often,Strongly agree,Yes,Very effective,Good,Never,Disagree,No,Traditional lectures,Ineffective,Neutral,Overwhelming content,,18–24,0.8412547404187153,
Female,Interactive methods,Always,Strongly agree,Yes,Neutral,Poor,Never,Agree,Not sure,Interactive methods,Ineffective,Disagree,Lack of engagement,,25–34,0.9107852734934884,
Female,Experiential methods,Never,Strongly agree,Not sure,Ineffective,Excellent,Always,Agree,No,Interactive methods,Neutral,Strongly agree,No hands-on learning opportunities,,25–34,0.7523790698074158,
Male,Interactive methods,Never,Agree,No,Ineffective,Excellent,Never,Agree,Yes,Traditional lectures,Ineffective,Disagree,One-way communication,,25–34,0.9333420378096234,
Male,Interactive methods,Often,Neutral,Not sure,Very effective,Excellent,Always,Strongly agree,Yes,Experiential methods,Effective,Agree,One-way communication,,18–24,0.093290860678998,
Female,Traditional lectures,Often,Agree,Not sure,Very effective,Poor,Sometimes,Agree,No,Experiential methods,Ineffective,Disagree,Overwhelming content,,25–34,0.8967255126749005,
Male,Traditional lectures,Rarely,Strongly agree,Yes,Neutral,Good,Often,Neutral,No,Interactive methods,Very effective,Agree,Overwhelming content,,18–24,0.2826089727642404,
Female,Interactive methods,Never,Strongly disagree,Yes,Very effective,Good,Never,Neutral,Not sure,Experiential methods,Very effective,Neutral,No hands-on learning opportunities,,25–34,0.3854550771850307,
Female,Interactive methods,Sometimes,Disagree,No,Neutral,Poor,Often,Disagree,Yes,Interactive methods,Ineffective,Strongly agree,Overwhelming content,,25–34,0.8392098890709857,
Male,Experiential methods,Rarely,Agree,Yes,Effective,Excellent,Often,Strongly agree,Yes,Interactive methods,Effective,Disagree,One-way communication,,18–24,0.7702321752368398,
Female,Experiential methods,Always,Strongly agree,Not sure,Neutral,Excellent,Never,Agree,Not sure,Experiential methods,Neutral,Strongly agree,One-way communication,,18–24,0.1946265782853472,
Female,Interactive methods,Always,Strongly disagree,No,Effective,Poor,Never,Strongly disagree,Not sure,Experiential methods,Ineffective,Strongly agree,Lack of engagement,,25–34,0.6114150763070515,
Female,Traditional lectures,Rarely,Strongly agree,No,Effective,Excellent,Rarely,Neutral,Not sure,Interactive methods,Very effective,Disagree,Lack of engagement,,Above 34,0.1790242702554595,
Male,Experiential methods,Always,Agree,No,Ineffective,Poor,Often,Neutral,Yes,Interactive methods,Neutral,Strongly agree,No hands-on learning opportunities,,18–24,0.5647558911198975,
Male,Interactive methods,Sometimes,Strongly disagree,No,Effective,Neutral,Sometimes,Neutral,No,Interactive methods,Neutral,Neutral,Lack of engagement,,Above 34,0.1581371163984259,
Female,Experiential methods,Sometimes,Strongly disagree,Not sure,Neutral,Good,Often,Strongly disagree,No,Interactive methods,Effective,Neutral,No hands-on learning opportunities,,Above 34,0.0735336053820812,
Female,Experiential methods,Always,Strongly disagree,No,Very effective,Good,Often,Strongly agree,No,Traditional lectures,Ineffective,Strongly disagree,One-way communication,,18–24,0.5312394143619422,
Male,Traditional lectures,Often,Agree,Yes,Ineffective,Poor,Often,Strongly agree,Yes,Interactive methods,Effective,Strongly disagree,Overwhelming content,,Above 34,0.5005377157768769,
Female,Experiential methods,Rarely,Agree,Not sure,Neutral,Excellent,Rarely,Agree,Yes,Traditional lectures,Neutral,Strongly agree,Overwhelming content,,25–34,0.1036618769003843,
Female,Interactive methods,Never,Strongly agree,Yes,Very effective,Poor,Often,Disagree,Yes,Interactive methods,Neutral,Agree,Lack of engagement,,Above 34,0.0163598057522964,
Male,Traditional lectures,Sometimes,Strongly disagree,Yes,Effective,Excellent,Always,Neutral,Yes,Experiential methods,Very effective,Neutral,No hands-on learning opportunities,,Above 34,0.7903822604891138,
Male,Traditional lectures,Never,Strongly agree,Yes,Effective,Neutral,Often,Neutral,Not sure,Interactive methods,Effective,Agree,One-way communication,,18–24,0.4085968547484714,
Female,Traditional lectures,Sometimes,Neutral,Yes,Neutral,Poor,Rarely,Agree,No,Traditional lectures,Neutral,Strongly agree,One-way communication,,25–34,0.0023487726426145,
Female,Traditional lectures,Rarely,Strongly agree,Not sure,Ineffective,Neutral,Always,Disagree,Yes,Traditional lectures,Neutral,Disagree,Lack of engagement,,18–24,0.1083967820665295,
Female,Traditional lectures,Never,Strongly agree,No,Very effective,Poor,Sometimes,Disagree,Not sure,Experiential methods,Very effective,Strongly disagree,Overwhelming content,,18–24,0.7348974574649539,
Female,Interactive methods,Sometimes,Disagree,Yes,Neutral,Poor,Never,Agree,No,Traditional lectures,Very effective,Strongly disagree,Overwhelming content,,Above 34,0.4894140924103376,
Female,Traditional lectures,Sometimes,Disagree,Not sure,Ineffective,Poor,Sometimes,Neutral,Yes,Traditional lectures,Neutral,Strongly agree,No hands-on learning opportunities,,Above 34,0.5379391987348843,
Male,Interactive methods,Rarely,Strongly disagree,No,Effective,Good,Always,Strongly disagree,Yes,Traditional lectures,Neutral,Neutral,No hands-on learning opportunities,,Above 34,0.4070246107793389,
Female,Traditional lectures,Never,Disagree,No,Effective,Excellent,Rarely,Strongly agree,Not sure,Experiential methods,Very effective,Disagree,Lack of engagement,,Above 34,0.7427885688189986,
Male,Interactive methods,Always,Disagree,Not sure,Ineffective,Neutral,Always,Strongly agree,Not sure,Traditional lectures,Effective,Neutral,One-way communication,,Above 34,0.7209546040085364,
Male,Interactive methods,Sometimes,Disagree,Not sure,Effective,Neutral,Never,Strongly disagree,No,Interactive methods,Very effective,Disagree,Overwhelming content,,25–34,0.4854693184279205,
Female,Experiential methods,Sometimes,Neutral,Yes,Ineffective,Good,Never,Disagree,Yes,Interactive methods,Neutral,Neutral,One-way communication,,18–24,0.4066407405971846,
Male,Traditional lectures,Never,Strongly disagree,Yes,Effective,Poor,Rarely,Strongly disagree,No,Traditional lectures,Very effective,Strongly agree,Overwhelming content,,Above 34,0.3870000095026808,
Male,Interactive methods,Sometimes,Disagree,No,Ineffective,Good,Often,Strongly disagree,No,Experiential methods,Neutral,Neutral,One-way communication,,Above 34,0.1122968174074682,
Male,Experiential methods,Never,Neutral,No,Neutral,Good,Often,Disagree,Yes,Traditional lectures,Effective,Strongly disagree,Overwhelming content,,Above 34,0.8192943211138691,
Female,Experiential methods,Always,Neutral,Yes,Ineffective,Neutral,Never,Neutral,No,Traditional lectures,Ineffective,Agree,No hands-on learning opportunities,,18–24,0.0299443851467615,
Female,Experiential methods,Always,Agree,Not sure,Ineffective,Good,Rarely,Disagree,Yes,Traditional lectures,Effective,Neutral,One-way communication,,Above 34,0.3285024008202506,
Male,Traditional lectures,Never,Neutral,Not sure,Effective,Excellent,Never,Disagree,Not sure,Experiential methods,Neutral,Strongly disagree,One-way communication,,Above 34,0.0140287985367629,
Male,Experiential methods,Always,Disagree,Yes,Ineffective,Poor,Often,Strongly disagree,Not sure,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,,25–34,0.0416232358319906,
Female,Interactive methods,Always,Agree,No,Very effective,Neutral,Rarely,Disagree,Not sure,Experiential methods,Ineffective,Neutral,One-way communication,,18–24,0.6724726961851719,
Male,Experiential methods,Rarely,Strongly disagree,Yes,Effective,Excellent,Often,Strongly disagree,Yes,Interactive methods,Effective,Disagree,Lack of engagement,,25–34,0.2504399966718038,
Male,Interactive methods,Rarely,Strongly agree,No,Ineffective,Good,Rarely,Neutral,No,Interactive methods,Effective,Strongly disagree,One-way communication,,25–34,0.8466951103834096,
Female,Traditional lectures,Sometimes,Strongly disagree,Yes,Very effective,Good,Rarely,Strongly disagree,Not sure,Experiential methods,Very effective,Neutral,No hands-on learning opportunities,,18–24,0.0802734468192322,
Male,Experiential methods,Always,Agree,No,Effective,Excellent,Rarely,Agree,No,Interactive methods,Very effective,Strongly disagree,No hands-on learning opportunities,,18–24,0.9601437645806032,
