Gender,EngagingMethod,MotivationDuringTL,HandsOnActivityHelp,TLPerformance,GroupDiscussion,MultimediaEffectiveness,TeacherInteraction,IMEncourageness,PeerLearning,Retention,ELinRealWorld,PreferMedia,ChallengesTL,AgeGroup,Gender_numeric,AgeGroup_numeric,EngagingMethod_numeric,TLPerformance_numeric,GroupDiscussion_numeric,MultimediaEffectiveness_numeric,TeacherInteraction_numeric,IMEncourageness_numeric,ELinRealWorld_numeric,PreferMedia_numeric,ChallengesTL_numeric,MotivationDuringTL_numeric,HandsOnActivityHelp_numeric,PeerLearning_numeric,Retention_numeric
Male,Interactive methods,Often,Agree,Yes,Very effective,Average,Always,Disagree,Strongly agree,Interactive methods,Effective,Disagree,No hands-on learning opportunities,18–24,0,1,2,2,3,0,0,1,0,1,1,4,4,6,3
Female,Experiential methods,Rarely,Strongly agree,No,Effective,Excellent,Sometimes,Agree,Yes,Experiential methods,Effective,Agree,No hands-on learning opportunities,18–24,1,1,1,0,0,1,4,0,0,0,1,2,5,5,2
Male,Interactive methods,Often,Strongly agree,Yes,Very effective,Good,Often,Strongly agree,Strongly agree,Interactive methods,Very effective,Strongly agree,Lack of engagement,18–24,0,1,2,2,3,2,2,3,3,3,0,4,5,6,3
Male,Experiential methods,Rarely,Strongly agree,Not sure,Effective,Excellent,Always,Strongly agree,Strongly agree,Experiential methods,Effective,Agree,No hands-on learning opportunities,25–34,0,2,1,1,0,1,0,3,0,0,1,2,5,6,2
Female,Experiential methods,Rarely,Strongly agree,No,Effective,Good,Rarely,Strongly agree,Yes,Experiential methods,Very effective,Neutral,Lack of engagement,18–24,1,1,1,0,0,2,3,3,3,2,0,2,5,5,2
Male,Interactive methods,Always,Strongly agree,Yes,Very effective,Excellent,Always,Strongly agree,Strongly agree,Traditional lectures,Effective,Strongly agree,Lack of engagement,Above 34,0,3,2,2,3,1,0,3,0,3,0,5,5,6,1
Male,Interactive methods,Always,Strongly disagree,No,Very ineffective,Poor,Sometimes,Strongly disagree,No,Experiential methods,Very ineffective,Strongly disagree,No hands-on learning opportunities,25–34,0,2,2,0,4,4,4,4,4,4,1,5,1,1,2
Male,Experiential methods,Often,Strongly agree,Yes,Effective,Excellent,Often,Strongly agree,Yes,Experiential methods,Very effective,Strongly agree,One-way communication,25–34,0,2,1,2,0,1,2,3,3,3,2,4,5,5,2
Male,Interactive methods,Sometimes,Agree,No,Effective,Excellent,Sometimes,Agree,Strongly agree,Experiential methods,Very effective,Agree,No hands-on learning opportunities,18–24,0,1,2,0,0,1,4,0,3,0,1,3,4,6,2
Male,Experiential methods,Sometimes,Agree,No,Very effective,Good,Rarely,Agree,Yes,Interactive methods,Effective,Agree,Lack of engagement,25–34,0,2,1,0,3,2,3,0,0,0,0,3,4,5,3
Male,Experiential methods,Often,Strongly agree,No,Effective,Excellent,Often,Strongly agree,Yes,Experiential methods,Effective,Agree,One-way communication,18–24,0,1,1,0,0,1,2,3,0,0,2,4,5,5,2
Male,Experiential methods,Often,Agree,Yes,Effective,Average,Sometimes,Agree,Yes,Interactive methods,Effective,Agree,Lack of engagement,18–24,0,1,1,2,0,0,4,0,0,0,0,4,4,5,3
Male,Interactive methods,Sometimes,Neutral,Yes,Effective,Excellent,Often,Agree,No,Interactive methods,Effective,Strongly agree,No hands-on learning opportunities,18–24,0,1,2,2,0,1,2,0,0,3,1,3,3,1,3
Male,Experiential methods,Often,Neutral,No,Neutral,Good,Often,Neutral,Yes,Interactive methods,Effective,Neutral,One-way communication,18–24,0,1,1,0,2,2,2,2,0,2,2,4,3,5,3
Male,Traditional lectures,Often,Strongly agree,Yes,Effective,Good,Sometimes,Agree,Yes,Experiential methods,Effective,Agree,No hands-on learning opportunities,18–24,0,1,3,2,0,2,4,0,0,0,1,4,5,5,2
Male,Experiential methods,Sometimes,Agree,Yes,Effective,Excellent,Often,Agree,Yes,Experiential methods,Very effective,Agree,No hands-on learning opportunities,18–24,0,1,1,2,0,1,2,0,3,0,1,3,4,5,2
Female,Experiential methods,Rarely,Agree,Not sure,Effective,Poor,Often,Disagree,Strongly agree,Experiential methods,Effective,Neutral,No hands-on learning opportunities,Above 34,1,3,1,1,0,4,2,1,0,2,1,2,4,6,2
Female,Interactive methods,Always,Strongly agree,Yes,Very effective,Good,Sometimes,Strongly agree,Strongly agree,Experiential methods,Very effective,Neutral,One-way communication,18–24,1,1,2,2,3,2,4,3,3,2,2,5,5,6,2
Male,Experiential methods,Rarely,Strongly agree,Not sure,Effective,Good,Sometimes,Disagree,Strongly agree,Experiential methods,Very effective,Neutral,No hands-on learning opportunities,18–24,0,1,1,1,0,2,4,1,3,2,1,2,5,6,2
Male,Experiential methods,Sometimes,Agree,Not sure,Very effective,Average,Sometimes,Strongly agree,Strongly agree,Experiential methods,Effective,Agree,No hands-on learning opportunities,25–34,0,2,1,1,3,0,4,3,0,0,1,3,4,6,2
Male,Interactive methods,Always,Agree,Yes,Very effective,Excellent,Often,Strongly agree,Strongly agree,Traditional lectures,Very effective,Agree,One-way communication,18–24,0,1,2,2,3,1,2,3,3,0,2,5,4,6,1
Female,Interactive methods,Often,Strongly agree,Yes,Effective,Good,Often,Strongly agree,Strongly agree,Experiential methods,Effective,Neutral,One-way communication,18–24,1,1,2,2,0,2,2,3,0,2,2,4,5,6,2
Female,Interactive methods,Often,Agree,Not sure,Effective,Good,Often,Agree,Yes,Experiential methods,Neutral,Neutral,One-way communication,18–24,1,1,2,1,0,2,2,0,2,2,2,4,4,5,2
Male,Interactive methods,Often,Agree,Yes,Very effective,Excellent,Sometimes,Strongly agree,Strongly agree,Experiential methods,Very effective,Strongly agree,Lack of engagement,18–24,0,1,2,2,3,1,4,3,3,3,0,4,4,6,2
Male,Experiential methods,Sometimes,Strongly agree,Not sure,Very effective,Excellent,Sometimes,Strongly agree,Strongly agree,Experiential methods,Very effective,Strongly agree,Lack of engagement,18–24,0,1,1,1,3,1,4,3,3,3,0,3,5,6,2
Male,Interactive methods,Always,Agree,No,Very effective,Excellent,Often,Strongly agree,Yes,Experiential methods,Very effective,Strongly agree,One-way communication,18–24,0,1,2,0,3,1,2,3,3,3,2,5,4,5,2
Male,Interactive methods,Rarely,Agree,No,Effective,Good,Often,Agree,Strongly agree,Interactive methods,Effective,Strongly agree,Lack of engagement,18–24,0,1,2,0,0,2,2,0,0,3,0,2,4,6,3
Male,Interactive methods,Always,Strongly agree,No,Very effective,Excellent,Often,Agree,Yes,Experiential methods,Very effective,Strongly agree,Lack of engagement,25–34,0,2,2,0,3,1,2,0,3,3,0,5,5,5,2
Female,Traditional lectures,Sometimes,Agree,Yes,Effective,Average,Sometimes,Agree,Yes,Traditional lectures,Effective,Neutral,One-way communication,25–34,1,2,3,2,0,0,4,0,0,2,2,3,4,5,1
Male,Experiential methods,Rarely,Strongly agree,No,Effective,Good,Often,Agree,Strongly agree,Experiential methods,Effective,Agree,No hands-on learning opportunities,18–24,0,1,1,0,0,2,2,0,0,0,1,2,5,6,2
Male,Experiential methods,Sometimes,Strongly agree,No,Ineffective,Excellent,Sometimes,Strongly agree,Yes,Experiential methods,Very effective,Disagree,One-way communication,18–24,0,1,1,0,1,1,4,3,3,1,2,3,5,5,2
Female,Interactive methods,Always,Strongly agree,Yes,Very effective,Excellent,Always,Strongly agree,Strongly agree,Experiential methods,Very effective,Strongly agree,One-way communication,25–34,1,2,2,2,3,1,0,3,3,3,2,5,5,6,2
Male,Interactive methods,Often,Agree,Yes,Very effective,Excellent,Always,Strongly agree,Yes,Experiential methods,Very effective,Strongly agree,One-way communication,18–24,0,1,2,2,3,1,0,3,3,3,2,4,4,5,2
Male,Experiential methods,Always,Strongly agree,Not sure,Effective,Good,Sometimes,Agree,Strongly agree,Experiential methods,Very effective,Agree,One-way communication,18–24,0,1,1,1,0,2,4,0,3,0,2,5,5,6,2
Female,Experiential methods,Sometimes,Agree,No,Effective,Good,Often,Agree,Sometimes,Experiential methods,Effective,Agree,Lack of engagement,18–24,1,1,1,0,0,2,2,0,0,0,0,3,4,3,2
Male,Interactive methods,Sometimes,Strongly agree,Not sure,Effective,Excellent,Always,Agree,Yes,Interactive methods,Effective,Agree,One-way communication,18–24,0,1,2,1,0,1,0,0,0,0,2,3,5,5,3
Female,Interactive methods,Sometimes,Neutral,No,Neutral,Excellent,Rarely,Agree,Strongly agree,Experiential methods,Effective,Agree,Lack of engagement,18–24,1,1,2,0,2,1,3,0,0,0,0,3,3,6,2
Female,Experiential methods,Rarely,Strongly agree,Yes,Very effective,Good,Sometimes,Neutral,Strongly agree,Experiential methods,Effective,Disagree,No hands-on learning opportunities,18–24,1,1,1,2,3,2,4,2,0,1,1,2,5,6,2
Male,Experiential methods,Sometimes,Agree,Not sure,Very effective,Average,Often,Agree,Strongly agree,Experiential methods,Effective,Neutral,No hands-on learning opportunities,18–24,0,1,1,1,3,0,2,0,0,2,1,3,4,6,2
Male,Traditional lectures,Always,Strongly agree,Yes,Very effective,Excellent,Always,Strongly agree,Strongly agree,Traditional lectures,Very effective,Strongly agree,One-way communication,25–34,0,2,3,2,3,1,0,3,3,3,2,5,5,6,1
Male,Experiential methods,Always,Strongly agree,No,Very effective,Excellent,Rarely,Neutral,Yes,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,18–24,0,1,1,0,3,1,3,2,3,3,1,5,5,5,2
Female,Interactive methods,Always,Strongly agree,Yes,Very effective,Good,Often,Strongly agree,Strongly agree,Interactive methods,Effective,Strongly agree,One-way communication,25–34,1,2,2,2,3,2,2,3,0,3,2,5,5,6,3
Female,Interactive methods,Always,Strongly agree,Yes,Very effective,Excellent,Rarely,Strongly agree,Strongly agree,Interactive methods,Very effective,Agree,Lack of engagement,18–24,1,1,2,2,3,1,3,3,3,0,0,5,5,6,3
Male,Experiential methods,Sometimes,Strongly agree,Yes,Very ineffective,Excellent,Rarely,Agree,Yes,Experiential methods,Very effective,Strongly disagree,No hands-on learning opportunities,18–24,0,1,1,2,4,1,3,0,3,4,1,3,5,5,2
Male,Experiential methods,Rarely,Agree,No,Very ineffective,Excellent,Rarely,Strongly disagree,Yes,Traditional lectures,Very effective,Strongly agree,Lack of engagement,18–24,0,1,1,0,4,1,3,4,3,3,0,2,4,5,1
Male,Interactive methods,Rarely,Agree,No,Very effective,Excellent,Rarely,Agree,Yes,Interactive methods,Effective,Agree,One-way communication,18–24,0,1,2,0,3,1,3,0,0,0,2,2,4,5,3
Male,Traditional lectures,Always,Agree,Yes,Very effective,Good,Often,Strongly agree,Strongly agree,Traditional lectures,Very effective,Neutral,Lack of engagement,18–24,0,1,3,2,3,2,2,3,3,2,0,5,4,6,1
Female,Interactive methods,Sometimes,Agree,Not sure,Effective,Good,Sometimes,Agree,Yes,Interactive methods,Effective,Agree,Lack of engagement,18–24,1,1,2,1,0,2,4,0,0,0,0,3,4,5,3
Female,Experiential methods,Rarely,Strongly agree,No,Very effective,Good,Sometimes,Agree,Yes,Interactive methods,Neutral,Disagree,One-way communication,25–34,1,2,1,0,3,2,4,0,2,1,2,2,5,5,3
Male,Interactive methods,Often,Agree,No,Effective,Good,Often,Neutral,Yes,Interactive methods,Effective,Agree,One-way communication,18–24,0,1,2,0,0,2,2,2,0,0,2,4,4,5,3
Female,Interactive methods,Always,Strongly agree,Yes,Effective,Excellent,Sometimes,Agree,Strongly agree,Interactive methods,Effective,Agree,Lack of engagement,25–34,1,2,2,2,0,1,4,0,0,0,0,5,5,6,3
Female,Experiential methods,Rarely,Agree,No,Effective,Good,Rarely,Strongly disagree,Yes,Experiential methods,Neutral,Neutral,One-way communication,18–24,1,1,1,0,0,2,3,4,2,2,2,2,4,5,2
Female,Interactive methods,Sometimes,Agree,Not sure,Effective,Good,Sometimes,Neutral,Yes,Interactive methods,Effective,Neutral,One-way communication,25–34,1,2,2,1,0,2,4,2,0,2,2,3,4,5,3
Female,Interactive methods,Sometimes,Agree,Yes,Effective,Average,Sometimes,Agree,Yes,Interactive methods,Neutral,Neutral,One-way communication,25–34,1,2,2,2,0,0,4,0,2,2,2,3,4,5,3
Male,Traditional lectures,Always,Agree,No,Very ineffective,Good,Sometimes,Strongly agree,Strongly agree,Traditional lectures,Effective,Agree,One-way communication,18–24,0,1,3,0,4,2,4,3,0,0,2,5,4,6,1
Male,Interactive methods,Often,Agree,Yes,Very effective,Good,Always,Agree,Yes,Interactive methods,Effective,Agree,No hands-on learning opportunities,18–24,0,1,2,2,3,2,0,0,0,0,1,4,4,5,3
Male,Interactive methods,Often,Neutral,No,Very effective,Excellent,Often,Agree,Strongly agree,Experiential methods,Very effective,Strongly agree,One-way communication,18–24,0,1,2,0,3,1,2,0,3,3,2,4,3,6,2
Male,Interactive methods,Often,Agree,No,Effective,Excellent,Often,Neutral,Yes,Interactive methods,Effective,Agree,One-way communication,18–24,0,1,2,0,0,1,2,2,0,0,2,4,4,5,3
Male,Experiential methods,Sometimes,Strongly agree,No,Effective,Good,Sometimes,Agree,Yes,Experiential methods,Effective,Agree,One-way communication,18–24,0,1,1,0,0,2,4,0,0,0,2,3,5,5,2
Female,Experiential methods,Rarely,Strongly agree,Yes,Effective,Average,Sometimes,Agree,Yes,Experiential methods,Effective,Neutral,Lack of engagement,25–34,1,2,1,2,0,0,4,0,0,2,0,2,5,5,2
Female,Interactive methods,Often,Neutral,No,Very effective,Excellent,Rarely,Agree,Strongly agree,Interactive methods,Effective,Agree,Lack of engagement,18–24,1,1,2,0,3,1,3,0,0,0,0,4,3,6,3
Female,Interactive methods,Always,Neutral,Yes,Effective,Good,Often,Strongly agree,Yes,Interactive methods,Effective,Strongly agree,One-way communication,18–24,1,1,2,2,0,2,2,3,0,3,2,5,3,5,3
Female,Interactive methods,Sometimes,Agree,Yes,Effective,Average,Often,Strongly agree,Strongly agree,Experiential methods,Very ineffective,Disagree,One-way communication,18–24,1,1,2,2,0,0,2,3,4,1,2,3,4,6,2
Male,Experiential methods,Often,Agree,Yes,Neutral,Good,Often,Agree,Strongly agree,Experiential methods,Effective,Agree,One-way communication,18–24,0,1,1,2,2,2,2,0,0,0,2,4,4,6,2
Male,Interactive methods,Sometimes,Strongly agree,Yes,Effective,Average,Sometimes,Agree,Strongly agree,Traditional lectures,Effective,Strongly agree,One-way communication,18–24,0,1,2,2,0,0,4,0,0,3,2,3,5,6,1
Female,Experiential methods,Sometimes,Neutral,Not sure,Very effective,Good,Often,Agree,Sometimes,Experiential methods,Neutral,Agree,No hands-on learning opportunities,18–24,1,1,1,1,3,2,2,0,2,0,1,3,3,3,2
Female,Experiential methods,Sometimes,Agree,No,Very effective,Good,Sometimes,Strongly agree,Strongly agree,Experiential methods,Effective,Strongly agree,One-way communication,18–24,1,1,1,0,3,2,4,3,0,3,2,3,4,6,2
Male,Interactive methods,Always,Neutral,Yes,Effective,Good,Always,Strongly agree,Strongly agree,Traditional lectures,Very effective,Strongly agree,One-way communication,25–34,0,2,2,2,0,2,0,3,3,3,2,5,3,6,1
Male,Interactive methods,Sometimes,Agree,No,Effective,Excellent,Rarely,Agree,Sometimes,Traditional lectures,Effective,Strongly agree,Lack of engagement,25–34,0,2,2,0,0,1,3,0,0,3,0,3,4,3,1
Male,Experiential methods,Always,Agree,Yes,Very effective,Good,Always,Strongly agree,No,Traditional lectures,Very ineffective,Strongly agree,One-way communication,18–24,0,1,1,2,3,2,0,3,4,3,2,5,4,1,1
Female,Traditional lectures,Always,Neutral,Yes,Very effective,Average,Sometimes,Agree,Yes,Traditional lectures,Neutral,Agree,Lack of engagement,18–24,1,1,3,2,3,0,4,0,2,0,0,5,3,5,1
Female,Experiential methods,Sometimes,Strongly agree,No,Very effective,Good,Sometimes,Agree,Yes,Experiential methods,Very effective,Strongly agree,Lack of engagement,18–24,1,1,1,0,3,2,4,0,3,3,0,3,5,5,2
Female,Experiential methods,Sometimes,Strongly agree,Yes,Very effective,Good,Sometimes,Agree,Sometimes,Experiential methods,Very effective,Neutral,No hands-on learning opportunities,Above 34,1,3,1,2,3,2,4,0,3,2,1,3,5,3,2
Female,Experiential methods,Sometimes,Agree,Not sure,Effective,Excellent,Sometimes,Agree,Yes,Experiential methods,Effective,Agree,No hands-on learning opportunities,25–34,1,2,1,1,0,1,4,0,0,0,1,3,4,5,2
Female,Experiential methods,Often,Agree,Not sure,Effective,Good,Often,Agree,Strongly agree,Experiential methods,Effective,Agree,One-way communication,18–24,1,1,1,1,0,2,2,0,0,0,2,4,4,6,2
Male,Experiential methods,Often,Agree,Not sure,Effective,Excellent,Often,Strongly agree,Yes,Experiential methods,Effective,Agree,Lack of engagement,Above 34,0,3,1,1,0,1,2,3,0,0,0,4,4,5,2
Male,Interactive methods,Sometimes,Neutral,Yes,Effective,Average,Sometimes,Agree,Sometimes,Experiential methods,Neutral,Agree,One-way communication,Above 34,0,3,2,2,0,0,4,0,2,0,2,3,3,3,2
Male,Interactive methods,Always,Neutral,Yes,Effective,Good,Sometimes,Agree,Strongly agree,Experiential methods,Very effective,Agree,One-way communication,Above 34,0,3,2,2,0,2,4,0,3,0,2,5,3,6,2
Male,Interactive methods,Always,Strongly agree,Yes,Effective,Excellent,Always,Strongly agree,Yes,Interactive methods,Effective,Strongly agree,Lack of engagement,Above 34,0,3,2,2,0,1,0,3,0,3,0,5,5,5,3
Male,Experiential methods,Often,Strongly agree,Yes,Neutral,Excellent,Often,Agree,No,Experiential methods,Effective,Agree,One-way communication,Above 34,0,3,1,2,2,1,2,0,0,0,2,4,5,1,2
Male,Interactive methods,Often,Strongly agree,Not sure,Very effective,Excellent,Always,Strongly agree,Not sure,Interactive methods,Very effective,Agree,Lack of engagement,18–24,0,1,2,1,3,1,0,3,3,0,0,4,5,2,3
Female,Traditional lectures,Never,Disagree,Not sure,Ineffective,Good,Always,Agree,No,Traditional lectures,Very effective,Strongly agree,Lack of engagement,18–24,1,1,3,1,1,2,0,0,3,3,0,1,2,1,1
Female,Traditional lectures,Always,Neutral,Yes,Ineffective,Poor,Never,Disagree,Not sure,Interactive methods,Ineffective,Disagree,No hands-on learning opportunities,25–34,1,2,3,2,1,4,1,1,1,1,1,5,3,2,3
Male,Experiential methods,Always,Strongly disagree,Yes,Ineffective,Poor,Always,Strongly disagree,Not sure,Traditional lectures,Ineffective,Strongly disagree,Overwhelming content,25–34,0,2,1,2,1,4,0,4,1,4,3,5,1,2,1
Male,Traditional lectures,Never,Neutral,No,Ineffective,Excellent,Rarely,Strongly disagree,No,Traditional lectures,Neutral,Disagree,Lack of engagement,25–34,0,2,3,0,1,1,3,4,2,1,0,1,3,1,1
Male,Interactive methods,Often,Agree,No,Effective,Poor,Never,Neutral,Yes,Interactive methods,Very effective,Strongly disagree,Lack of engagement,25–34,0,2,2,0,0,4,1,2,3,4,0,4,4,5,3
Male,Interactive methods,Rarely,Disagree,Not sure,Very effective,Excellent,Often,Agree,Not sure,Traditional lectures,Effective,Neutral,No hands-on learning opportunities,25–34,0,2,2,1,3,1,2,0,0,2,1,2,2,2,1
Male,Interactive methods,Sometimes,Disagree,Yes,Neutral,Poor,Rarely,Strongly agree,Not sure,Interactive methods,Very effective,Disagree,No hands-on learning opportunities,25–34,0,2,2,2,2,4,3,3,3,1,1,3,2,2,3
Female,Experiential methods,Always,Strongly disagree,Not sure,Neutral,Excellent,Often,Strongly agree,Not sure,Interactive methods,Very effective,Strongly disagree,One-way communication,18–24,1,1,1,1,2,1,2,3,3,4,2,5,1,2,3
Female,Experiential methods,Often,Neutral,No,Very effective,Poor,Often,Strongly agree,No,Experiential methods,Effective,Strongly disagree,Lack of engagement,25–34,1,2,1,0,3,4,2,3,0,4,0,4,3,1,2
Female,Traditional lectures,Often,Disagree,No,Neutral,Excellent,Rarely,Strongly agree,Not sure,Traditional lectures,Ineffective,Strongly disagree,Overwhelming content,18–24,1,1,3,0,2,1,3,3,1,4,3,4,2,2,1
Male,Traditional lectures,Always,Strongly agree,Not sure,Neutral,Excellent,Often,Disagree,No,Interactive methods,Effective,Strongly agree,Lack of engagement,Above 34,0,3,3,1,2,1,2,1,0,3,0,5,5,1,3
Female,Traditional lectures,Always,Strongly disagree,Yes,Ineffective,Good,Always,Strongly disagree,Not sure,Experiential methods,Neutral,Strongly agree,One-way communication,Above 34,1,3,3,2,1,2,0,4,2,3,2,5,1,2,2
Female,Interactive methods,Rarely,Strongly disagree,Not sure,Neutral,Excellent,Always,Agree,Yes,Traditional lectures,Effective,Neutral,Lack of engagement,25–34,1,2,2,1,2,1,0,0,0,2,0,2,1,5,1
Male,Interactive methods,Often,Agree,Not sure,Ineffective,Poor,Always,Strongly disagree,Yes,Interactive methods,Effective,Neutral,One-way communication,Above 34,0,3,2,1,1,4,0,4,0,2,2,4,4,5,3
Female,Traditional lectures,Rarely,Agree,Not sure,Effective,Poor,Rarely,Strongly agree,Not sure,Interactive methods,Neutral,Agree,Overwhelming content,25–34,1,2,3,1,0,4,3,3,2,0,3,2,4,2,3
Female,Interactive methods,Never,Neutral,No,Ineffective,Poor,Rarely,Agree,Yes,Traditional lectures,Ineffective,Agree,One-way communication,18–24,1,1,2,0,1,4,3,0,1,0,2,1,3,5,1
Female,Interactive methods,Often,Agree,No,Effective,Good,Always,Agree,No,Experiential methods,Effective,Agree,No hands-on learning opportunities,Above 34,1,3,2,0,0,2,0,0,0,0,1,4,4,1,2
Male,Interactive methods,Sometimes,Disagree,Not sure,Very effective,Excellent,Often,Strongly disagree,Yes,Traditional lectures,Neutral,Strongly disagree,Overwhelming content,Above 34,0,3,2,1,3,1,2,4,2,4,3,3,2,5,1
Female,Experiential methods,Often,Strongly disagree,Not sure,Ineffective,Good,Never,Agree,Not sure,Interactive methods,Neutral,Agree,Overwhelming content,Above 34,1,3,1,1,1,2,1,0,2,0,3,4,1,2,3
Male,Experiential methods,Sometimes,Agree,Yes,Very effective,Excellent,Always,Disagree,Yes,Traditional lectures,Effective,Neutral,No hands-on learning opportunities,25–34,0,2,1,2,3,1,0,1,0,2,1,3,4,5,1
Female,Interactive methods,Never,Neutral,No,Effective,Poor,Often,Neutral,Not sure,Experiential methods,Neutral,Agree,One-way communication,18–24,1,1,2,0,0,4,2,2,2,0,2,1,3,2,2
Female,Interactive methods,Sometimes,Disagree,Not sure,Very effective,Poor,Sometimes,Neutral,No,Experiential methods,Effective,Agree,One-way communication,Above 34,1,3,2,1,3,4,4,2,0,0,2,3,2,1,2
Male,Traditional lectures,Rarely,Disagree,No,Ineffective,Excellent,Never,Neutral,No,Experiential methods,Very effective,Strongly disagree,Lack of engagement,18–24,0,1,3,0,1,1,1,2,3,4,0,2,2,1,2
Male,Interactive methods,Rarely,Strongly disagree,Yes,Very effective,Neutral,Rarely,Agree,Not sure,Experiential methods,Effective,Strongly agree,One-way communication,25–34,0,2,2,2,3,3,3,0,0,3,2,2,1,2,2
Female,Traditional lectures,Always,Strongly agree,Not sure,Effective,Neutral,Sometimes,Disagree,Not sure,Interactive methods,Neutral,Disagree,Overwhelming content,Above 34,1,3,3,1,0,3,4,1,2,1,3,5,5,2,3
Male,Interactive methods,Often,Agree,No,Neutral,Excellent,Often,Agree,No,Interactive methods,Very effective,Agree,No hands-on learning opportunities,25–34,0,2,2,0,2,1,2,0,3,0,1,4,4,1,3
Male,Experiential methods,Always,Agree,No,Effective,Excellent,Sometimes,Disagree,Yes,Interactive methods,Neutral,Agree,One-way communication,25–34,0,2,1,0,0,1,4,1,2,0,2,5,4,5,3
Female,Traditional lectures,Never,Neutral,Not sure,Very effective,Poor,Rarely,Strongly agree,Yes,Traditional lectures,Very effective,Agree,No hands-on learning opportunities,25–34,1,2,3,1,3,4,3,3,3,0,1,1,3,5,1
Male,Experiential methods,Always,Disagree,Not sure,Neutral,Neutral,Always,Disagree,Not sure,Experiential methods,Effective,Disagree,Lack of engagement,Above 34,0,3,1,1,2,3,0,1,0,1,0,5,2,2,2
Male,Traditional lectures,Always,Neutral,Yes,Effective,Excellent,Often,Strongly disagree,Not sure,Interactive methods,Ineffective,Disagree,One-way communication,25–34,0,2,3,2,0,1,2,4,1,1,2,5,3,2,3
Female,Interactive methods,Rarely,Disagree,Yes,Very effective,Poor,Sometimes,Agree,No,Experiential methods,Ineffective,Strongly disagree,One-way communication,Above 34,1,3,2,2,3,4,4,0,1,4,2,2,2,1,2
Male,Interactive methods,Rarely,Agree,Yes,Effective,Excellent,Often,Disagree,No,Experiential methods,Ineffective,Strongly agree,Lack of engagement,18–24,0,1,2,2,0,1,2,1,1,3,0,2,4,1,2
Male,Experiential methods,Rarely,Strongly disagree,Not sure,Neutral,Neutral,Often,Strongly agree,No,Traditional lectures,Effective,Disagree,No hands-on learning opportunities,Above 34,0,3,1,1,2,3,2,3,0,1,1,2,1,1,1
Female,Experiential methods,Rarely,Disagree,Yes,Neutral,Poor,Sometimes,Agree,Not sure,Traditional lectures,Ineffective,Neutral,Lack of engagement,Above 34,1,3,1,2,2,4,4,0,1,2,0,2,2,2,1
Female,Traditional lectures,Never,Strongly agree,Yes,Effective,Excellent,Often,Strongly agree,Not sure,Traditional lectures,Effective,Disagree,No hands-on learning opportunities,Above 34,1,3,3,2,0,1,2,3,0,1,1,1,5,2,1
Female,Interactive methods,Never,Agree,Yes,Ineffective,Good,Always,Neutral,Yes,Interactive methods,Effective,Strongly disagree,Overwhelming content,25–34,1,2,2,2,1,2,0,2,0,4,3,1,4,5,3
Female,Experiential methods,Sometimes,Agree,Yes,Neutral,Poor,Rarely,Strongly agree,Yes,Traditional lectures,Neutral,Neutral,One-way communication,25–34,1,2,1,2,2,4,3,3,2,2,2,3,4,5,1
Male,Interactive methods,Sometimes,Strongly agree,No,Ineffective,Neutral,Never,Strongly agree,Not sure,Experiential methods,Very effective,Strongly agree,Lack of engagement,18–24,0,1,2,0,1,3,1,3,3,3,0,3,5,2,2
Female,Experiential methods,Never,Disagree,No,Very effective,Good,Always,Disagree,Yes,Experiential methods,Effective,Neutral,Overwhelming content,25–34,1,2,1,0,3,2,0,1,0,2,3,1,2,5,2
Female,Traditional lectures,Always,Agree,No,Ineffective,Excellent,Always,Strongly agree,Yes,Traditional lectures,Very effective,Strongly disagree,One-way communication,25–34,1,2,3,0,1,1,0,3,3,4,2,5,4,5,1
Female,Interactive methods,Sometimes,Agree,Not sure,Neutral,Good,Rarely,Neutral,Not sure,Interactive methods,Very effective,Disagree,Overwhelming content,25–34,1,2,2,1,2,2,3,2,3,1,3,3,4,2,3
Male,Experiential methods,Rarely,Agree,Yes,Very effective,Excellent,Rarely,Strongly agree,No,Interactive methods,Very effective,Strongly agree,Overwhelming content,18–24,0,1,1,2,3,1,3,3,3,3,3,2,4,1,3
Male,Interactive methods,Rarely,Disagree,Not sure,Ineffective,Neutral,Always,Strongly disagree,Yes,Experiential methods,Neutral,Strongly agree,Overwhelming content,25–34,0,2,2,1,1,3,0,4,2,3,3,2,2,5,2
Male,Experiential methods,Never,Strongly agree,Not sure,Very effective,Neutral,Sometimes,Disagree,Not sure,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,25–34,0,2,1,1,3,3,4,1,3,3,1,1,5,2,2
Female,Traditional lectures,Often,Strongly agree,Not sure,Very effective,Good,Often,Strongly agree,Yes,Experiential methods,Very effective,Strongly agree,One-way communication,25–34,1,2,3,1,3,2,2,3,3,3,2,4,5,5,2
Female,Traditional lectures,Rarely,Strongly disagree,No,Effective,Good,Often,Disagree,Yes,Experiential methods,Effective,Strongly disagree,Overwhelming content,Above 34,1,3,3,0,0,2,2,1,0,4,3,2,1,5,2
Male,Experiential methods,Never,Strongly agree,Yes,Ineffective,Neutral,Often,Strongly disagree,Not sure,Interactive methods,Very effective,Disagree,One-way communication,Above 34,0,3,1,2,1,3,2,4,3,1,2,1,5,2,3
